Sanskrit,English,Type,Benefits
Bharadvajasana I,Bharadvaja’s Twist,"Hip Opening,Seated,Twist,",['CarpalTunnel Syndrome']
Padangusthasana,Big Toe Pose,"Forward Bend,Standing,","['Anxiety', 'Digestion', 'Fatigue', 'Flexibility', 'Headaches', 'Insomnia', 'Menopause', 'Osteoporosis', 'Stress']"
Paripurna Navasana,Boat Pose,"Core,Seated,Strengthening,","['Digestion', 'Fitness', 'Stress', 'Weight Loss']"
Baddha Konasana,Bound Angle Pose,"Forward Bend,Hip Opening,Seated,","['Anxiety', 'Asthma', 'Depression', 'Fatigue', 'Flat Feet', 'Flexibility', 'High Blood Pressure', 'Infertility', 'Menopause', 'Menstruation', 'Pregnancy', 'Sciatica']"
Dhanurasana,Bow Pose,"Chest Opening,Yoga Backbends","['Anxiety', 'Asthma', 'Back Pain', 'Digestion', 'Fatigue', 'Menstruation']"
Setu Bandha Sarvangasana,Bridge Pose,Yoga Backbends,"['Anxiety', 'Asthma', 'Back Pain', 'Depression', 'Digestion', 'Energy', 'Headaches', 'High Blood Pressure', 'Insomnia', 'Menopause', 'Menstruation', 'Osteoporosis', 'Sinusitis']"
Ustrasana,Camel Pose,"Chest Opening,Yoga Backbends","['Anxiety', 'Asthma', 'Back Pain', 'Energy', 'Fatigue', 'Menstruation']"
Marjaryasana,Cat Pose,"Core,","['Anxiety', 'Asthma', 'Back Pain', 'Insomnia', 'Neck Pain']"
Utkatasana,Chair Pose,"Core,Standing,Strengthening,",['Flat Feet']
Balasana,Child’s Pose,"Forward Bend,Hip Opening,Restorative,",[]
Bhujangasana,Cobra Pose,"Chest Opening,Yoga Backbends","['Asthma', 'Digestion', 'Energy', 'Fatigue', 'Sciatica']"
Savasana,Corpse Pose,"Restorative,","['Calm', 'Depression', 'Fatigue', 'Headaches', 'High Blood Pressure', 'Insomnia', 'Neck Pain', 'Stress']"
Gomukhasana,Cow Face Pose,"Hip Opening,Seated,",['Flexibility']
Bitilasana,Cow Pose,"Chest Opening,Yoga Backbends","['Anxiety', 'Asthma', 'Back Pain', 'Insomnia', 'Neck Pain']"
Bakasana,Crane (Crow) Pose,"Arm Balance,Core,",[]
Makara Adho Mukha Svanasana,Dolphin Plank Pose,"Arm Balance,Core,Strengthening,","['Depression', 'Fitness', 'Osteoporosis', 'Stress']"
Ardha Pincha Mayurasana,Dolphin Pose,"Core,Standing,Strengthening,","['Asthma', 'Back Pain', 'Depression', 'Fatigue', 'Fitness', 'Flat Feet', 'Headaches', 'High Blood Pressure', 'Insomnia', 'Menopause', 'Menstruation', 'Osteoporosis', 'Sciatica']"
Adho Mukha Svanasana,Downward-Facing Dog,"Forward Bend,Standing,Strengthening,","['Asthma', 'Back Pain', 'Digestion', 'Energy', 'Fatigue', 'Flat Feet', 'Flexibility', 'Headaches', 'High Blood Pressure', 'Insomnia', 'Menopause', 'Menstruation', 'Osteoporosis', 'Sciatica', 'Sinusitis']"
Garudasana,Eagle Pose,"Balancing,Hip Opening,Standing,","['Asthma', 'Back Pain', 'Sciatica']"
Sukhasana,Easy Pose,"Hip Opening,Seated,","['Anxiety', 'Asthma', 'Calm', 'Depression', 'Insomnia', 'Pregnancy', 'Sciatica']"
Astavakrasana,Eight-Angle Pose,"Arm Balance,",[]
Utthita Hasta Padangustasana,Extended Hand-To-Big-Toe Pose,"Balancing,Hip Opening,Standing,",['Osteoporosis']
Uttana Shishosana,Extended Puppy Pose,"Forward Bend,","['Anxiety', 'Depression', 'Flexibility', 'Headaches', 'Insomnia', 'Neck Pain']"
